,Values,Price
289,4.778694810625094,500
290,4.778689202721065,1000
291,4.7786922977008075,5000
292,4.778701680454114,10000
293,4.778778797055626,50000
294,4.7787662855410105,100000
295,4.778632369505396,500000
296,4.77885220019196,1000000
297,4.778849715630435,100
298,4.778850836609833,500
299,4.77885792482376,1000
300,4.778871870211397,5000
301,4.7788780480014825,10000
302,4.778913304458771,50000
303,4.778916431800945,100000
304,4.778847552920005,500000
305,4.77858251170461,1000000
306,4.778581131511713,100
307,4.778573930335007,500
308,4.778573791605281,1000
309,4.778563019190348,5000
310,4.778576948638398,10000
311,4.778549693776513,50000
312,4.778522018731866,100000
313,4.778369553057707,500000
314,4.778402292693515,1000000
315,4.7784059120473215,100
316,4.778405437178979,500
317,4.778414344334512,1000
318,4.77842074522805,5000
319,4.778445077289733,10000
320,4.778412643643425,50000
321,4.778490461006095,100000
322,4.778414144768638,500000
323,4.7784868332223285,1000000
324,4.778486286983813,100
325,4.778491496522169,500
326,4.778486730621369,1000
327,4.778478694772729,5000
328,4.77849002938926,10000
329,4.7784792601925625,50000
330,4.7785222285208535,100000
331,4.778349300692978,500000
332,4.778411306199689,1000000
333,4.778410452351205,100
334,4.778411171201591,500
335,4.778417050213358,1000
336,4.7784099533497795,5000
337,4.778403322785511,10000
338,4.778379707113102,50000
339,4.778357533676811,100000
340,4.7784574115829725,500000
341,4.778485463346178,1000000
342,4.7784836517934535,100
343,4.778485101039347,500
344,4.778487674693048,1000
345,4.778488928634373,5000
346,4.778494148314295,10000
347,4.778480098422149,50000
348,4.7784978873394754,100000
349,4.778576539521317,500000
350,4.778356189873222,1000000
351,4.778356168934469,100
352,4.778355711928384,500
353,4.778356471439676,1000
354,4.7783553127060605,5000
355,4.778363451373067,10000
356,4.7783968199045335,50000
357,4.778365827840991,100000
358,4.778310597115562,500000
359,4.778167661955255,1000000
360,4.778168823193598,100
361,4.778167073519627,500
362,4.77816598152728,1000
363,4.778170652619077,5000
364,4.778151839603224,10000
365,4.778108303965694,50000
366,4.778128892551995,100000
367,4.778010480293381,500000
368,4.778063911727522,1000000
369,4.778064998430595,100
370,4.778067149238273,500
371,4.778063116572597,1000
372,4.778073436356603,5000
373,4.778078640851015,10000
374,4.778068635436588,50000
375,4.778049706329298,100000
376,4.777952708607181,500000
377,4.778058758210136,1000000
378,4.778058286215387,100
379,4.778056683719013,500
380,4.7780659531408896,1000
381,4.778075455540719,5000
382,4.778058117735494,10000
383,4.778066294692226,50000
384,4.7780294683345925,100000
385,4.7781414184134565,500000
386,4.778177892219231,1000000
387,4.7781781905610305,100
388,4.778178665576418,500
389,4.77817328161196,1000
390,4.778185576825035,5000
391,4.77818299136733,10000
392,4.778186252700729,50000
393,4.778246293632702,100000
394,4.778215500959639,500000
395,4.777989175522871,1000000
396,4.77799038246174,100
397,4.777991649910955,500
398,4.777993402890725,1000
399,4.777992456288485,5000
400,4.777998043046002,10000
401,4.778025300556146,50000
402,4.7780097949739675,100000
403,4.77805825539641,500000
404,4.777949999410513,1000000
405,4.777950255154846,100
406,4.777948866666772,500
407,4.777949324442515,1000
408,4.777937886232399,5000
409,4.777931748511157,10000
410,4.777952057701465,50000
411,4.777926348373676,100000
412,4.777973045016033,500000
413,4.777997211973947,1000000
414,4.77799597675687,100
415,4.7779949653407146,500
416,4.777998273522608,1000
417,4.777988566002075,5000
418,4.777984808704653,10000
419,4.777977918638346,50000
420,4.777964862992782,100000
421,4.777922861604803,500000
422,4.777984258105289,1000000
423,4.777985501905408,100
424,4.777981861647024,500
425,4.77798235575843,1000
426,4.777983724791048,5000
427,4.777986314045262,10000
428,4.777997956448643,50000
429,4.777986033534488,100000
430,4.778053544797614,500000
431,4.778099642441393,1000000
432,4.77809778425123,100
433,4.77809670393229,500
434,4.778096756965561,1000
435,4.778085860114615,5000
436,4.778106280834935,10000
437,4.778112662373191,50000
438,4.778136480585431,100000
439,4.7781972057636555,500000
440,4.778256615197496,1000000
441,4.778256292820449,100
442,4.778260580703334,500
443,4.778260706125526,1000
444,4.77826467888492,5000
445,4.778253379917905,10000
446,4.778258042570517,50000
447,4.77823719663662,100000
448,4.778331718140944,500000
449,4.778265117520187,1000000
450,4.778264296437212,100
451,4.778260262450449,500
452,4.77825982146665,1000
453,4.778270480449881,5000
454,4.778256513511292,10000
455,4.778284506901143,50000
456,4.778325655533893,100000
457,4.778393060837427,500000
458,4.778326760878451,1000000
459,4.778325571362306,100
460,4.778326948611407,500
461,4.778326701033571,1000
462,4.778320153430551,5000
463,4.7783342566582565,10000
464,4.778321589241139,50000
465,4.778356631230434,100000
466,4.77847179910811,500000
467,4.778472539290228,1000000
468,4.778474268929393,100
469,4.77847417053355,500
470,4.778473679807521,1000
471,4.778477244340821,5000
472,4.778477807268088,10000
473,4.778469908897103,50000
474,4.778450919764518,100000
475,4.778433109329948,500000
476,4.778516700665766,1000000
477,4.7785179424015825,100
478,4.778514709466458,500
479,4.778511196744105,1000
480,4.778501007881773,5000
481,4.778500799117869,10000
482,4.778476268462665,50000
483,4.778481465009972,100000
484,4.778520499613876,500000
485,4.77860789108543,1000000
486,4.778608601163903,100
487,4.778609301403551,500
488,4.778609092571721,1000
489,4.778609892839596,5000
490,4.778613780255031,10000
